
Mouser No,Mfr. No,Manufacturer,"Description ",Order Qty.,,
595-SN74LS74AN,SN74LS74AN,Texas Instruments,Flip-Flops Dual,10
595-SN74LS157N,SN74LS157N,Texas Instruments,"Encoders, Decoders, Multiplexers & Demultiplexers Quad Data",10
595-SN74LS173AN,SN74LS173AN,Texas Instruments,Flip-Flops 4bit w/Tri-St Out,10
595-SN74LS175N,SN74LS175N,Texas Instruments,Flip-Flops Quad,10
595-SN74LS08N,SN74LS08N,Texas Instruments,Logic Gates Quad 2-Input.,10
595-SN74LS161AN,SN74LS161AN,Texas Instruments,Counter ICs 4-Bit Synch Binary,10
595-SN74LS193N,SN74LS193N,Texas Instruments,Counter ICs 4-Bit Up/Down,10
595-SN74LS125AN,SN74LS125AN,Texas Instruments,Buffers & Line Drivers Tri-State Quad Bus,10
612-100SP1T1B1M3QEH,100SP1T1B1M3QEH,E-Switch,Toggle Switches 5A 120VAC/28VDC On-None-On Wire Wrap,2
595-NE555P,NE555P,Texas Instruments,Timers & Support Products Precision,10
595-SN74LS393N,SN74LS393N,Texas Instruments,Counter ICs Dual 4-Bit Binary,10
595-SN74LS163AN,SN74LS163AN,Texas Instruments,Counter ICs 4-Bit Synchronous Bi nary Counters,10
595-SN74LS153N,SN74LS153N,Texas Instruments,"Encoders, Decoders, Multiplexers & Demultiplexers Dual 4 to 1-Line Sel ector/Multiplexer",10
603-MFR25SFTF52-4K7,MFR25SFTF52-4K7,YAGEO,Metal Film Resistors - Through Hole 4.7Kohm 1% 1/4WS Metal Film Resistor,25
603-MFR-25FTE52-68K,MFR-25FTE52-68K,YAGEO,Metal Film Resistors - Through Hole 68K OHM 1/4W 1%,25
603-MFR-25JR-52-10K,MFR-25JR-52-10K,YAGEO,"Metal Film Resistors - Through Hole ",100
